Material Family,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,UNS,Temperature (deg C),pH,Salinity (g/L),Humidity (%)
Carbon steel,1.33,52.4,G10100,176,5.4,3.7,28
Carbon steel,1.087,42.8,G10100,176,5.1,7.5,21.3
Carbon steel,6.55,25.8,G10100,176,7.6,4.3,72.9
Carbon steel,3.59,141.3,G10100,176,7.4,8.4,68.2
Carbon steel,1.97,77.6,G10100,176,5.7,5.3,33
Carbon steel,1.32,52,G10100,176,5.9,7.6,38.7
Carbon steel,1.181,46.5,G10100,176,5.1,0.8,21.9
Carbon steel,2.06,81.4,G10100,176,8.3,5.9,86.8
Carbon steel,3.009,118.5,G10100,176,8.9,5.5,98
Carbon steel,1.73,68.2,G10100,176,5.5,6.1,30.8
Carbon steel,1.13,44.7,G10100,176,5.9,7,38.5
Carbon steel,5.14,202.5,G10100,176,8.5,9.2,89.5
Carbon steel,2.875,113.2,G10100,176,8.7,7.9,94.1
Carbon steel,2.908,114.5,G10100,176,6.7,2.2,53.6
Carbon steel,1.49,58.7,G10100,176,5.2,8.3,24
Zirconium and alloys,0.05 max,2 max,R60702,100,5.2,1.2,23.2
Austenitic,0.023,0.9,S30400,49,7.3,6.2,65.9
Austenitic,0.035,1.4,S31700,49,6.6,8.8,51.4
Alloy steel,0.14,5.4,G41300,175,5.1,1,22.3
Alloy steel,0.13,5.2,S50400,175,7.3,8.5,66.7
Aluminum bronze,B (Good),B (Good),,,5,8,20.9
Brass,B (Good),B (Good),,,8.1,5,83
Brass,D (Poor),D (Poor),C26000,,6.2,3.1,44.5
Brass,B (Good),B (Good),C22000,,5.2,4.1,23.2
Brass,D (Poor),D (Poor),C28000,,7.4,9.7,67.1
Brass,B (Good),B (Good),C23000,,6.6,2,51.8
Copper,B (Good),B (Good),C11000,,8.9,5.8,97.9
Copper,B (Good),B (Good),C12200,,7.2,0.8,63.5
Copper-nickel,A (Resistant),A (Resistant),C71500,,6.1,2.2,42
Copper-nickel,A (Resistant),A (Resistant),C70600,,7.8,7.6,76.8
Leaded brass,D (Poor),D (Poor),C38500,,6.1,3,41.7
Leaded brass,D (Poor),D (Poor),C36000,,8.6,9.9,92.3
Nickel-silver,A (Resistant),A (Resistant),,,6.5,5,50
Phosphor bronze,B (Good),B (Good),C51000,,7.2,5.2,64
Phosphor bronze,A (Resistant),A (Resistant),C52100,,5.2,0.4,24
Silicon bronze,B (Good),B (Good),C65500,,6.7,9.6,54.1
Silicon bronze,B (Good),B (Good),C65100,,8.3,1.7,86.6
Tin brass,B (Good),B (Good),C44300,,8.2,5.4,84.5
Tin brass,B (Good),B (Good),C46400,,5.9,4,37.9
Lead and alloys,0.05 max,2 max,L50045,24,5.9,4.2,38.1
Magnesium,D (Poor),D (Poor),,Room,8.3,6.4,85.4
Noble metals,0.05 max,2 max,P04995,100,8.7,6.6,94.4
Noble metals,0.05 max,2 max,P07010,100,5.4,1.5,27.6
Tin and alloys,A (Resistant),A (Resistant),,20,6.8,5,56
Tin and alloys,D (Poor),D (Poor),,60,6.3,7.9,47
Tin and alloys,D (Poor),D (Poor),,100,8.5,4.4,89.7
Nickel-chromium-iron,0.003 max,0.1 max,N08800,80,5.3,1.7,26.7
Nickel-chromium-iron,0.002,0.1,N06601,80,5.8,3.1,36.9
Nickel-chromium-iron,0.003,0.1,N07718,175,8,2.1,80.2
Hafnium and alloys,A (Resistant),A (Resistant),,,5.2,1.3,24.1
Hafnium and alloys,A (Resistant),A (Resistant),,,7,3.8,59.4
Niobium and alloys,A (Resistant),A (Resistant),R04210,Boiling,6.8,5.4,55.4
Titanium,A (Resistant),A (Resistant),R53400,Boiling,6.3,0.7,46.8
Titanium,A (Resistant),A (Resistant),,Boiling,6.6,6,51.6
Titanium,A (Resistant),A (Resistant),,Boiling,7.1,9.9,62.4
Titanium,D (Poor),D (Poor),R50400,Boiling,5.6,9.6,32.9
Austenitic,A (Resistant),A (Resistant),S34700,20,7.3,8.3,65.8
Titanium,A (Resistant),A (Resistant),R52400,Boiling,8.2,2.7,84.4
Titanium and alloys,0.005,0.2,R58640,175,8,0.2,80.8
Titanium and alloys,0.005,0.2,,100,5.6,8.3,32.3
Titanium and alloys,0.007,0.28,,100,5.6,0.6,31.9
Titanium and alloys,0.015,0.6,,100,6.1,2.1,41.5
Titanium and alloys,0.001,0.04,,104,6.4,5.4,48.9
Titanium and alloys,0.003 max,0.12 max,,149,6.6,1.8,52.7
Titanium and alloys,0.406,16.24,,154,7.7,8.3,74.4
Titanium and alloys,0.8,32,,175,5.2,7.8,24.5
Titanium and alloys,A (Resistant),A (Resistant),R52400,150,5.1,7.6,22.8
Titanium and alloys,A (Resistant),A (Resistant),R52400,177,6.6,8.2,51.4
Zirconium and alloys,0.0005,0.2,R60702,Boiling,7.8,2.2,75.8
Zirconium and alloys,0.025 max,1 max,R60702,35-100,5.8,7.3,35.5
Zirconium and alloys,0.025 max,1 max,R60702,35-100,7.6,3.6,71.3
Zirconium and alloys,0.025 max,1 max,R60702,35-100,6,6.7,40.8
Zirconium and alloys,0.025 max,1 max,R60702,Boiling,8.5,1.2,90.9
Zirconium and alloys,0.13 max,5 max,R60702,Boiling,8.6,7.1,91.7
Zirconium and alloys,0.025 max,1 max,R60702,79,6.2,9.7,43.8
Zirconium and alloys,0.025 max,1 max,R60705,Boiling,5.9,0.4,38.4
Zirconium and alloys,,,R60705,Boiling,6.6,0.9,52.9
Austenitic,A (Resistant),A (Resistant),S30100,20,6,1.2,39.2
Austenitic,B (Good),B (Good),S30100,Boiling,7.7,4.3,73.8
Austenitic,A (Resistant),A (Resistant),S30200,20,8.3,2.9,86.1
Austenitic,B (Good),B (Good),S30200,Boiling,7.7,8.1,73.8
Austenitic,A (Resistant),A (Resistant),S30300,20,8.3,4.7,85.9
Austenitic,B (Good),B (Good),S30300,Boiling,6.6,4.8,51.8
Austenitic,0.003,0.1,S30400,-12,5.6,7.2,32.5
Austenitic,0.005,0.2,S30400,Boiling,8,3.6,79
Austenitic,B (Good),B (Good),S30400,21,6.4,3.5,48.8
Austenitic,0.003 max,0.1 max,S30400,-15 to -16,7.7,7.6,73.7
Austenitic,0.003 max,0.1 max,S30400,32-107,6.1,7.8,41.7
Austenitic,0.003 max,0.1 max,S30400,71,5.3,0.1,26.5
Austenitic,0.003 max,0.1 max,S30400,79,9,1.4,99.4
Austenitic,0.003 max,0.1 max,S30400,-12,5.6,2.1,32.5
Austenitic,0.05,2,S30400,165,9,3.5,99.1
Austenitic,A (Resistant),A (Resistant),S30400,20,8.9,2.9,98.2
Austenitic,B (Good),B (Good),S30400,Boiling,8.2,6.7,83.5
Austenitic,A (Resistant),A (Resistant),S30403,20,7.6,8.3,72.8
Austenitic,B (Good),B (Good),S30403,Boiling,7.3,1.9,66.2
Austenitic,A (Resistant),A (Resistant),S30453,20,8.5,5.6,89.3
Austenitic,B (Good),B (Good),S30453,Boiling,6.2,3.7,43.2
Austenitic,0.003,0.1,S31600,Boiling,6.9,5.1,57.4
Austenitic,0.003,0.1,S31600,-12,7.5,6.2,69.6
Austenitic,B (Good),B (Good),S31600,21,6.6,8.9,52.9
Austenitic,0.003 max,0.1 max,S31600,32-107,6.7,1.9,54.2
Austenitic,0.003 max,0.1 max,S31600,-15to-16,6.3,0.9,46.4
Austenitic,0.003 max,0.1 max,S31600,71,7.3,6.3,65.1
Austenitic,0.003 max,0.1 max,S31600,79,8.4,3.9,88
Austenitic,0.003 max,0.1 max,S31600,-12,5.8,1.6,36.1
Austenitic,0.043,1.7,S31600,165,8.7,1.2,94.8
Austenitic,A (Resistant),A (Resistant),S31600,20,7.8,5.6,75.1
Austenitic,B (Good),B (Good),S31600,Boiling,8.3,3,85.9
Austenitic,A (Resistant),A (Resistant),S31620,20,7.2,10,64.5
Austenitic,B (Good),B (Good),S31620,Boiling,8.1,4.1,82.4
Austenitic,A (Resistant),A (Resistant),S31603,20,5.1,2.1,21.3
Austenitic,B (Good),B (Good),S31603,Boiling,8.3,6.3,85.5
Austenitic,A (Resistant),A (Resistant),S31653,20,5.2,2.4,23.2
Austenitic,B (Good),B (Good),S31653,Boiling,8.6,4.9,91.2
Austenitic,A (Resistant),A (Resistant),S31635,20,9,4.8,99.4
Austenitic,B (Good),B (Good),S31635,Boiling,6.2,4.5,43.5
Austenitic,A (Resistant),A (Resistant),S31703,20,5.8,8,36.8
Austenitic,B (Good),B (Good),S31703,Boiling,8.1,2.2,81.2
Austenitic,A (Resistant),A (Resistant),S31725,20,6,9,40.2
Austenitic,B (Good),B (Good),S31725,Boiling,8.5,7.9,89.2
Austenitic,A (Resistant),A (Resistant),S32100,20,5.4,3.3,28.2
Austenitic,B (Good),B (Good),S32100,Boiling,5.5,1.8,30.1
Austenitic,A (Resistant),A (Resistant),S34700,20,8.9,2.8,98.3
Austenitic,B (Good),B (Good),S34700,Boiling,7.7,3.3,73.9
Duplex,0.006,0.25,S31803,175,8.4,5.6,87.8
Duplex,A (Resistant),A (Resistant),S32900,20,6.3,0.5,45.9
Duplex,B (Good),B (Good),S32900,Boiling,7.7,9.1,74.1
Duplex,A (Resistant),A (Resistant),S31803,20,7.4,1,67.5
Duplex,B (Good),B (Good),S31803,Boiling,7.4,2.8,68.3
Ferritic,C (Questionable),C (Questionable),S43000,21,7.7,1.1,74.6
Martensitic,0.13,5.3,S41000,175,7.3,2.6,66
Martensitic,D (Poor),D (Poor),S41000,Room,6.7,8.4,54.3
Lead and alloys,0.5 max,20 max,L50045,24-100,6.1,6.2,42.1
Zirconium and alloys,A (Resistant),A (Resistant),R60702,28,8.1,2.3,81.5
Zirconium and alloys,A (Resistant),A (Resistant),R60702,90,5.9,8.7,38.1
99.0% min Al,A (Resistant),A (Resistant),A91350,20,7.8,8,75.4
Aluminum-magnesium,A (Resistant),A (Resistant),,20,5.9,7.5,38.7
Aluminum bronze,A (Resistant),A (Resistant),,,7.5,8.5,70
Aluminum bronze,0.5 max,20 max,C61300,,8,6.2,79.8
Brass,A (Resistant),A (Resistant),,,5.9,5,37.5
Brass,B (Good),B (Good),C26000,,5.2,3.7,24.8
Brass,A (Resistant),A (Resistant),C22000,,5.5,2.2,30.5
Brass,B (Good),B (Good),C28000,,7.4,5.6,68.5
Brass,A (Resistant),A (Resistant),C23000,,8.4,8.9,88
Copper,A (Resistant),A (Resistant),C11000,,5.2,5.9,23.6
Copper,A (Resistant),A (Resistant),C12200,,7.9,9.2,78.7
Copper-nickel,A (Resistant),A (Resistant),C71500,,6.4,3.6,47.3
Copper-nickel,A (Resistant),A (Resistant),C70600,,6.9,7,58.3
Leaded brass,B (Good),B (Good),C38500,,8.7,6.5,94.3
Leaded brass,B (Good),B (Good),C36000,,6.3,6.7,46.6
Nickel-silver,A (Resistant),A (Resistant),,,6.9,6.5,57.2
Phosphor bronze,A (Resistant),A (Resistant),C51000,,5.1,2.2,21.1
Phosphor bronze,A (Resistant),A (Resistant),C52100,,5.3,1.4,26.5
Silicon bronze,A (Resistant),A (Resistant),C65500,,6,9.8,40.7
Silicon bronze,A (Resistant),A (Resistant),C65100,,5.1,0.5,22.2
Tin brass,A (Resistant),A (Resistant),C44300,,7.5,4.7,70.5
Tin brass,B (Good),B (Good),C46400,,6.7,4.3,54.1
Magnesium and alloys,A (Resistant),A (Resistant),,Room,7.2,3.6,63.9
Noble metals,0.05 max,2 max,P07010,100,5.7,7.8,34
Titanium and alloys,A (Resistant),A (Resistant),,Room,6.2,7.5,43.7
Titanium and alloys,A (Resistant),A (Resistant),,Boiling,7.7,9.1,73.1
Titanium and alloys,0.001,0.04,,100,8.9,4,97.2
Titanium and alloys,0.001,0.04,,100,5.2,5.6,24
Titanium and alloys,A (Resistant),A (Resistant),,21,8.6,8.9,91.2
Titanium and alloys,A (Resistant),A (Resistant),,21,7.3,9.9,66.2
Austenitic,A (Resistant),A (Resistant),S30100,20,7.3,9.7,65.1
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,7,7.2,60
Austenitic,A (Resistant),A (Resistant),S30200,20,5.3,1.4,25.6
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,5.4,0.2,27.2
Austenitic,A (Resistant),A (Resistant),S30300,20,7.4,8.3,68.1
Austenitic,A (Resistant),A (Resistant),S30300,20,6.4,8.4,47.3
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,8.7,7.5,93.4
Austenitic,A (Resistant),A (Resistant),S30400,20,6.6,2.8,52.5
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,5.6,6.4,31.5
Austenitic,0.003 max,0.1 max,S30400,90,7.9,3.2,77.2
Austenitic,0.003 max,0.1 max,S30400,49,6.2,4.5,43.5
Austenitic,0.003 max,0.1 max,S30400,,7.1,3.8,62
Austenitic,A (Resistant),A (Resistant),S30403,20,7.8,9.1,75.8
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,8.6,2.3,92
Austenitic,A (Resistant),A (Resistant),S30453,20,8.2,5.8,83.4
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,7.7,3.6,74.1
Austenitic,A (Resistant),A (Resistant),S31600,20,7.7,6.6,74.4
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,8.8,5.6,95.7
Austenitic,0.003 max,0.1 max,S31600,49,6.2,9.2,43.7
Austenitic,0.003 max,0.1 max,S31600,,5,1,20.1
Austenitic,A (Resistant),A (Resistant),S31620,20,6.1,2.2,41.8
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,5.9,7.7,37.4
Austenitic,A (Resistant),A (Resistant),S31603,20,7.6,3.7,72.9
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,7.5,1.7,70.7
Austenitic,A (Resistant),A (Resistant),S31653,20,7.4,5,67.5
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,5.1,6.5,21.3
Austenitic,A (Resistant),A (Resistant),S31635,20,7.9,0.4,78.3
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,6.3,2.9,45.9
Austenitic,A (Resistant),A (Resistant),S31703,20,7.7,8.1,73.2
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,7.2,5.2,64.5
Austenitic,A (Resistant),A (Resistant),S31725,20,6.4,0.4,47.4
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,5.5,2.8,30.8
Austenitic,A (Resistant),A (Resistant),S32100,20,5.4,6.4,27.6
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,8.3,2,86.5
Austenitic,A (Resistant),A (Resistant),S34700,20,8.7,8.3,93.5
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,7.6,6.8,72
Duplex,A (Resistant),A (Resistant),S32900,20,5.4,4.7,28.3
Duplex,A (Resistant),A (Resistant),S32900,Boiling,6.6,9.2,52.2
Duplex,A (Resistant),A (Resistant),S31803,20,7.9,3.9,78.3
Duplex,A (Resistant),A (Resistant),S31803,Boiling,8.1,2.4,82.4
Ferritic,A (Resistant),A (Resistant),S40500,20,5.5,6.6,29.5
Ferritic,A (Resistant),A (Resistant),S40900,20,5,5.7,20
Ferritic,A (Resistant),A (Resistant),S43000,20,7.8,3.4,77
Ferritic,A (Resistant),A (Resistant),S43400,20,6.4,3.4,48.5
Martensitic,A (Resistant),A (Resistant),S40300,20,6,4,40.4
Martensitic,A (Resistant),A (Resistant),S41000,Room,5.1,2.9,21
Martensitic,A (Resistant),A (Resistant),S41000,20,7.2,7.1,63.2
Martensitic,A (Resistant),A (Resistant),S41600,20,8.4,6.5,88.1
Martensitic,A (Resistant),A (Resistant),S42000,20,8.8,4.4,96.6
Precipitation hardening,A (Resistant),A (Resistant),S36300,Room,7.3,4,65.3
Austenitic,C (Questionable),C (Questionable),S30100,Up to 40° (104°),7.1,3.7,61.2
Duplex,A (Resistant),A (Resistant),S32900,20,5.3,2.8,26.8
Austenitic,C (Questionable),C (Questionable),S30200,Up to 40° (104°),7.2,0.9,63.9
Austenitic,C (Questionable),C (Questionable),S30300,Up to 40° (104°),6.5,2.7,50.4
Austenitic,C (Questionable),C (Questionable),S30400,Up to 40° (104°),7.4,3.2,68.6
Austenitic,C (Questionable),C (Questionable),S30403,Up to 40° (104°),6.6,5.5,51.1
Austenitic,C (Questionable),C (Questionable),S30453,Up to 40° (104°),6,7.7,39.2
Austenitic,B (Good),B (Good),S31600,Up to 40° (104°),5.4,4,27.6
Austenitic,C (Questionable),C (Questionable),S31620,Up to 40° (104°),6.3,9.4,45.2
Austenitic,B (Good),B (Good),S31603,Up to 40° (104°),5.4,8.3,27.7
Austenitic,B (Good),B (Good),S31653,Up to 40° (104°),5.7,9.8,34.2
Austenitic,B (Good),B (Good),S31635,Up to 40° (104°),8.9,8.8,99
Austenitic,B (Good),B (Good),S31703,Up to 40° (104°),6.8,6.2,55.5
Austenitic,B (Good),B (Good),S31725,Up to 40° (104°),7.1,6,62.5
Austenitic,C (Questionable),C (Questionable),S32100,Up to 40° (104°),8.5,1.3,89.9
Austenitic,C (Questionable),C (Questionable),S34700,Up to 40° (104°),9,7.2,99.6
Duplex,B (Good),B (Good),S32900,Up to 40° (104°),7.3,6,66.6
Duplex,B (Good),B (Good),S31803,Up to 40° (104°),8.2,5.1,85
Aluminum bronze,B (Good),B (Good),,,6.3,6.9,46.2
Aluminum bronze,0.5 max,20 max,C61300,,6.2,4.4,44.5
Brass,B (Good),B (Good),,,6.6,5.2,52.2
Brass,D (Poor),D (Poor),C26000,,7.7,4,73.8
Brass,B (Good),B (Good),C22000,,7.7,7.2,74.6
Brass,D (Poor),D (Poor),C28000,,6.3,8.8,45.2
Brass,B (Good),B (Good),C23000,,5.5,8.4,30.7
Copper,B (Good),B (Good),C11000,,7.5,7.9,70.6
Copper,B (Good),B (Good),C12200,,5.5,0.1,30.3
Copper-nickel,B (Good),B (Good),C71500,,7.3,9.1,66.3
Copper-nickel,B (Good),B (Good),C70600,,7.8,2.7,75.5
Leaded brass,D (Poor),D (Poor),C38500,,7.8,8.9,76
Leaded brass,D (Poor),D (Poor),C36000,,8,2,80.3
Nickel-silver,B (Good),B (Good),,,8.5,4.4,89.8
Phosphor bronze,B (Good),B (Good),C51000,,7,7.5,60
Phosphor bronze,B (Good),B (Good),C52100,,7.9,6.4,78.4
Silicon bronze,B (Good),B (Good),C65500,,7.5,4.2,69.5
Silicon bronze,B (Good),B (Good),C65100,,5.7,6.8,34.9
Tin brass,B (Good),B (Good),C44300,,5.1,5.5,22.1
Tin brass,D (Poor),D (Poor),C46400,,6.1,2.8,42.8
Magnesium and alloys,3.1,124,M11610,35,6.8,6.5,55.4
Noble metals,0.05 max,2 max,P04995,Room,7.5,2,69.4
Nickel-chromium-molybdenum,0.025,1,,20-24,8.4,6.9,88
Nickel-chromium-molybdenum-tungsten,0.0025 max,0.1 max,,20-24,5.8,0,35.7
Titanium and alloys,0.001,0.04,,100,5.5,5.5,30
Titanium and alloys,0.001,0.04,,100,8.9,4,97.1
Titanium and alloys,A (Resistant),A (Resistant),,25,5.4,3,28.6
Titanium and alloys,A (Resistant),A (Resistant),,20-24,6.9,5.2,58.3
Zirconium and alloys,0.025,1,R60701,20-24,7.3,6.5,66.8
Zirconium and alloys,0.13 max,5 max,R60702,100,7.2,9.7,63.3
Zirconium and alloys,0.13 max,5 max,R60702,100,5.3,8.3,26.9
Zirconium and alloys,0.13 max,5 max,R60702,100,5.2,7.2,24.6
Austenitic,B (Good),B (Good),S30100,20,5.4,4.8,28.4
Austenitic,A (Resistant),A (Resistant),S30100,20,7.3,3.9,66.8
Austenitic,B (Good),B (Good),S30100,20,7.2,0.3,63.5
Austenitic,B (Good),B (Good),S30200,20,5.9,3.6,38.7
Austenitic,A (Resistant),A (Resistant),S30200,20,7.6,8.5,71
Austenitic,B (Good),B (Good),S30200,20,8.3,3.8,85.6
Austenitic,D (Poor),D (Poor),S30300,20,5.2,4.6,23.3
Austenitic,B (Good),B (Good),S30300,20,7,2.7,59.9
Austenitic,D (Poor),D (Poor),S30300,20,7.8,2.7,75.1
Austenitic,A (Resistant),A (Resistant),S30300,20,6,0.6,40.2
Austenitic,D (Poor),D (Poor),S30300,20,6.2,6.1,44.6
Austenitic,B (Good),B (Good),S30300,20,7.5,4.5,69.1
Austenitic,B (Good),B (Good),S30400,20,8.6,6.1,91.8
Austenitic,A (Resistant),A (Resistant),S30400,20,8.2,5.5,84.8
Austenitic,B (Good),B (Good),S30400,20,7.3,8,66.7
Austenitic,B (Good),B (Good),S30403,20,7.9,7.5,78.4
Austenitic,A (Resistant),A (Resistant),S30403,20,6.5,7.7,49.2
Austenitic,B (Good),B (Good),S30403,20,7.6,5,71.3
Austenitic,B (Good),B (Good),S30453,20,6.9,3.5,57.3
Austenitic,A (Resistant),A (Resistant),S30453,20,5.8,9.3,35.2
Austenitic,B (Good),B (Good),S30453,20,7.8,0.5,76.1
Austenitic,0.25,10,S31600,20-24,7.2,1.5,64.5
Austenitic,0.15,6,S31600,32-38,6.4,4.2,48.7
Austenitic,0.25,10,S31600,32-38,8.6,6.1,92.9
Austenitic,0.15,6,S31600,32-38,5.1,0.1,21.7
Austenitic,0.3,12,S31600,24,6.3,7.2,45.3
Austenitic,0.003 max,0.1 max,S31600,60,5.2,5.6,24.6
Austenitic,0.005,0.2,S31600,100,8.1,4.8,81.3
Austenitic,0.55,22,S31600,36,7.8,4.2,76.2
Austenitic,0.013,0.5,S31600,100,6.3,5.2,46.5
Austenitic,A (Resistant),A (Resistant),S31600,20,7.7,1.6,74.1
Austenitic,A (Resistant),A (Resistant),S31600,20,6.6,1.1,51.7
Austenitic,B (Good),B (Good),S31600,20,8,2.9,80.5
Austenitic,B (Good),B (Good),S31620,20,6.8,7.1,56.3
Austenitic,A (Resistant),A (Resistant),S31620,20,6.6,5.9,53
Austenitic,B (Good),B (Good),S31620,20,8.7,4.8,94.8
Austenitic,A (Resistant),A (Resistant),S31603,20,6,5.7,40.1
Austenitic,A (Resistant),A (Resistant),S31603,20,5.5,5.6,29.6
Austenitic,B (Good),B (Good),S31603,20,7.3,3.1,66.8
Austenitic,A (Resistant),A (Resistant),S31653,20,8.9,1,97.5
Austenitic,A (Resistant),A (Resistant),S31653,20,6.5,9,50.2
Austenitic,B (Good),B (Good),S31653,20,5.2,6,25
Austenitic,A (Resistant),A (Resistant),S31635,20,6.4,7,47.1
Austenitic,A (Resistant),A (Resistant),S31635,20,7,4.6,60.5
Austenitic,B (Good),B (Good),S31635,20,5.6,7.6,33
Duplex,A (Resistant),A (Resistant),S31803,20,7.6,5.8,72.6
Austenitic,0.58,23,S31700,32-38,9,0.5,99.8
Austenitic,0.73,29,S31700,32-38,6.8,8.9,56.1
Austenitic,0.08,3.3,S31700,24,6.4,3.1,48.4
Austenitic,A (Resistant),A (Resistant),S31703,20,6.6,1.4,52.1
Austenitic,A (Resistant),A (Resistant),S31703,20,5.5,0.9,29.2
Austenitic,B (Good),B (Good),S31703,20,8.5,7.2,90.7
Austenitic,A (Resistant),A (Resistant),S31725,20,6.7,7,53.2
Austenitic,A (Resistant),A (Resistant),S31725,20,6.5,7,51
Austenitic,B (Good),B (Good),S31725,20,7.6,9.2,72.8
Austenitic,B (Good),B (Good),S32100,20,6.8,3.5,55.4
Austenitic,A (Resistant),A (Resistant),S32100,20,7.6,5.6,71.9
Austenitic,B (Good),B (Good),S32100,20,5.2,6.2,24.9
Austenitic,B (Good),B (Good),S34700,20,8.3,9.8,85.1
Austenitic,A (Resistant),A (Resistant),S34700,20,8.8,3.1,95.2
Austenitic,B (Good),B (Good),S34700,20,7.6,9.6,71.9
Austenitic,0.55,22,,24,8.8,1.5,96.4
Austenitic,0.003 max,0.1 max,,60,5.6,7.6,32.1
Austenitic,0.003,0.1,,100,6.9,6.3,58.2
Austenitic,0.88,3.5,,36,7.4,8.2,68.1
Austenitic,0.01,0.4,,100,7.3,0.3,66.5
Duplex,A (Resistant),A (Resistant),S32900,20,6.6,0.8,52.1
Duplex,A (Resistant),A (Resistant),S32900,20,6.4,0.7,47
Duplex,B (Good),B (Good),S32900,20,5.5,5.9,30.1
Nickel,,,N02200,77,1.9,6,51.3
Duplex,A (Resistant),A (Resistant),S31803,20,5.7,9.1,33
Duplex,B (Good),B (Good),S31803,20,7.9,4.7,78.7
Ferritic,D (Poor),D (Poor),S40500,20,5.8,0.7,36.7
Ferritic,D (Poor),D (Poor),S40500,20,5.2,2.1,24.7
Ferritic,D (Poor),D (Poor),S40500,20,7.2,0.1,64.2
Ferritic,D (Poor),D (Poor),S40900,20,7.4,7.8,67.6
Ferritic,D (Poor),D (Poor),S40900,20,8.5,8.2,89.8
Ferritic,D (Poor),D (Poor),S40900,20,7.3,10,66.2
Ferritic,D (Poor),D (Poor),S43000,20,6.4,4.1,47.6
Ferritic,D (Poor),D (Poor),S43000,20,8.2,0.2,84.2
Ferritic,D (Poor),D (Poor),S43000,20,7.2,2.3,63.2
Ferritic,C (Questionable),C (Questionable),S43400,20,5.3,5.9,26.3
Ferritic,B (Good),B (Good),S43400,20,7.3,9.6,65.3
Ferritic,C (Questionable),C (Questionable),S43400,20,8.6,1,92.6
Martensitic,D (Poor),D (Poor),S40300,20,6.6,1.2,51.7
Martensitic,D (Poor),D (Poor),S40300,20,6.2,7,43.7
Martensitic,D (Poor),D (Poor),S40300,20,5.6,6.7,31.5
Martensitic,D (Poor),D (Poor),S41000,Room,5.6,2.5,32.1
Martensitic,D (Poor),D (Poor),S41000,20,6.7,8.1,54.6
Martensitic,D (Poor),D (Poor),S41000,20,7.4,1.3,67.7
Martensitic,D (Poor),D (Poor),S41000,20,5.3,9.3,26.4
Martensitic,D (Poor),D (Poor),S41600,20,8.8,2,95.2
Martensitic,D (Poor),D (Poor),S41600,20,8,0.8,80.4
Martensitic,D (Poor),D (Poor),S41600,20,7.3,3.4,66.9
Martensitic,D (Poor),D (Poor),S42000,20,8.3,1.9,86.3
Martensitic,D (Poor),D (Poor),S42000,20,5.3,5.3,26.4
Martensitic,D (Poor),D (Poor),S42000,20,6.9,6.9,58.1
Austenitic,A (Resistant),A (Resistant),S30100,20,7.5,4.9,70.4
Austenitic,A (Resistant),A (Resistant),S30200,20,8.3,6.6,86.3
Austenitic,A (Resistant),A (Resistant),S30300,20,8.1,3.6,82.7
Austenitic,A (Resistant),A (Resistant),S30400,20,6.1,0.3,42.2
Austenitic,A (Resistant),A (Resistant),S30403,20,8.8,9.7,95.3
Austenitic,A (Resistant),A (Resistant),S30453,20,5.5,8.2,29.9
Austenitic,A (Resistant),A (Resistant),S31600,20,8.5,0.7,90
Austenitic,A (Resistant),A (Resistant),S31620,20,8.9,4.5,97.7
Austenitic,A (Resistant),A (Resistant),S31603,20,5.7,6.4,34.2
Austenitic,A (Resistant),A (Resistant),S31653,20,7.9,1.9,77.8
Austenitic,A (Resistant),A (Resistant),S31635,20,5.2,5.8,23.2
Austenitic,A (Resistant),A (Resistant),S31703,20,6.6,5.3,52.4
Austenitic,A (Resistant),A (Resistant),S31725,20,7.1,2.1,61.3
Austenitic,A (Resistant),A (Resistant),S32100,20,7.3,1.4,66.5
Austenitic,A (Resistant),A (Resistant),S34700,20,8.7,7.6,94.9
Duplex,A (Resistant),A (Resistant),S32900,20,7.7,3.2,73.8
Duplex,A (Resistant),A (Resistant),S31803,20,6.9,2.4,58.5
Austenitic,A (Resistant),A (Resistant),S30100,20,8.2,7.4,84.8
Austenitic,A (Resistant),A (Resistant),S30200,20,8.8,7.4,96
Austenitic,A (Resistant),A (Resistant),S30300,20,5.1,2.8,21.8
Austenitic,A (Resistant),A (Resistant),S30400,20,8.9,8.7,98.6
Austenitic,A (Resistant),A (Resistant),S30403,20,5.3,6.9,26.9
Austenitic,A (Resistant),A (Resistant),S30453,20,8.3,3.5,85.2
Austenitic,A (Resistant),A (Resistant),S31600,20,6.1,4.3,42.4
